,rating,name,link,area_genre,price(dinner),price(lunch),holiday
114,3.70,カフェ・アンセーニュ・ダングル 自由が丘店,https://tabelog.com/tw/tokyo/A1317/A131703/13017724/,"自由丘車站 / 咖啡館, 咖啡店, 蛋糕","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
115,3.70,石田屋,https://tabelog.com/tw/tokyo/A1322/A132203/13003807/,"上板橋車站 / 日式點心, 蛋糕, 銅鑼燒",- JPY 999,-,星期二
116,3.69,Nicolai Bergmann NOMU aoyama,https://tabelog.com/tw/tokyo/A1306/A130602/13121811/,"表參道車站 / 咖啡店, 蛋糕, 三明治","JPY 2,000 - JPY 2,999","JPY 2,000 - JPY 2,999",-
117,3.69,ブルー・ブリック・ラウンジ,https://tabelog.com/tw/tokyo/A1306/A130602/13004798/,"表參道車站 / 咖啡店, 法式料理, 蛋糕","JPY 4,000 - JPY 4,999","JPY 1,000 - JPY 1,999",-
118,3.69,ローズベーカリー 銀座,https://tabelog.com/tw/tokyo/A1301/A130101/13138416/,"銀座車站 / 咖啡店, 麵包, 蛋糕","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
119,3.69,パティスリー イーズ,https://tabelog.com/tw/tokyo/A1302/A130202/13246269/,茅場町車站 / 蛋糕,- JPY 999,- JPY 999,星期三
120,3.69,ローヤル珈琲店 本店,https://tabelog.com/tw/tokyo/A1311/A131102/13008614/,"淺草車站 / 咖啡館, 三明治, 蛋糕",-,- JPY 999,-
121,3.69,珈琲亭 ルアン,https://tabelog.com/tw/tokyo/A1315/A131502/13008294/,"大森車站 / 咖啡館, 咖啡店, 蛋糕",-,- JPY 999,"星期三, 星期四"
122,3.69,ショコラティエ・エリカ,https://tabelog.com/tw/tokyo/A1316/A131602/13001875/,"白金台車站 / 巧克力, 咖啡店, 蛋糕",-,"JPY 2,000 - JPY 2,999",-
123,3.69,365日,https://tabelog.com/tw/tokyo/A1318/A131810/13263836/,"代代木八幡車站 / 麵包, 蛋糕","JPY 1,000 - JPY 1,999",-,-
124,3.69,スイーツ＆デリ,https://tabelog.com/tw/tokyo/A1302/A130201/13141136/,"大手町車站 / 蛋糕, 麵包, 巧克力",- JPY 999,- JPY 999,-
125,3.68,ラ･メゾン･デュ･ショコラ 丸の内店,https://tabelog.com/tw/tokyo/A1301/A130102/13000036/,"有樂町車站 / 巧克力, 蛋糕, 咖啡店",-,"JPY 3,000 - JPY 3,999",-
126,3.68,ASAKO IWAYANAGI SALON DE THE,https://tabelog.com/tw/tokyo/A1317/A131715/13264608/,"等等力車站 / 咖啡店, 蛋糕","JPY 3,000 - JPY 3,999","JPY 3,000 - JPY 3,999","星期一, 星期二"
127,3.68,和光 ケーキ＆チョコレートショップ,https://tabelog.com/tw/tokyo/A1301/A130101/13004100/,"銀座車站 / 蛋糕, 巧克力","JPY 2,000 - JPY 2,999",-,-
128,3.67,リベルターブル 赤坂店,https://tabelog.com/tw/tokyo/A1308/A130801/13160987/,"赤坂車站 / 蛋糕, 咖啡店, 麵包",- JPY 999,"JPY 1,000 - JPY 1,999","星期一, 星期日"
129,3.67,オー・メルベイユ・ドゥ・フレッド,https://tabelog.com/tw/tokyo/A1309/A130905/13246571/,"神樂坂車站 / 蛋糕, 咖啡店, 西式甜點","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
130,3.67,equilibre,https://tabelog.com/tw/tokyo/A1317/A131710/13269549/,"不動前車站 / 蛋糕, 巧克力, 西式甜點",-,"JPY 2,000 - JPY 2,999","星期二, 星期三"
131,3.67,うぐいすと穀雨,https://tabelog.com/tw/tokyo/A1305/A130502/13178579/,"雜司谷車站 / 咖啡店, 麵包, 蛋糕",-,"JPY 1,000 - JPY 1,999","星期一, 星期二, 星期三, 星期五"
132,3.66,カフェ・ミケランジェロ,https://tabelog.com/tw/tokyo/A1303/A130303/13003369/,"代官山車站 / 咖啡店, 義大利料理, 蛋糕","JPY 2,000 - JPY 2,999","JPY 1,000 - JPY 1,999",星期三
133,3.66,ガーデンラウンジ,https://tabelog.com/tw/tokyo/A1308/A130803/13009058/,"赤坂見附車站 / 咖啡店, 蛋糕, 西式自助餐",-,"JPY 6,000 - JPY 7,999",-
